09:33:03:726692, onepos_HLK_7, 40:d6:3c:00:06:1e, -80
09:33:03:737977, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:33:03:837438, onepos_HLK_2, 40:d6:3c:00:04:e1, -71
09:33:04:027163, onepos_HLK_8, 40:d6:3c:00:05:49, -81
09:33:04:031567, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:33:04:245208, onepos_HLK_3, 40:d6:3c:00:06:1d, -74
09:33:04:290870, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:33:04:388103, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:33:04:500170, onepos_HLK_7, 40:d6:3c:00:06:1e, -79
09:33:04:627843, onepos_HLK_1, 40:d6:3c:00:04:a0, -62
09:33:04:692819, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:33:04:932518, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:33:05:062605, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:33:05:094861, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:33:05:141078, onepos_HLK_1, 40:d6:3c:00:04:a0, -63
09:33:05:289345, onepos_HLK_1, 40:d6:3c:00:04:a0, -62
09:33:05:420882, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:33:05:466427, onepos_HLK_2, 40:d6:3c:00:04:e1, -76
09:33:05:645703, onepos_HLK_7, 40:d6:3c:00:06:1e, -80
09:33:05:681468, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:33:05:852256, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:33:05:903887, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:33:05:973164, onepos_HLK_2, 40:d6:3c:00:04:e1, -71
09:33:06:062260, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:33:06:080766, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:33:06:287812, onepos_HLK_1, 40:d6:3c:00:04:a0, -70
09:33:06:400283, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:33:06:426844, onepos_HLK_7, 40:d6:3c:00:06:1e, -79
09:33:06:511412, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:33:06:552454, onepos_HLK_8, 40:d6:3c:00:05:49, -82
09:33:06:717022, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:06:926744, onepos_HLK_7, 40:d6:3c:00:06:1e, -75
09:33:06:948290, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:33:07:130126, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:33:07:173151, onepos_HLK_2, 40:d6:3c:00:04:e1, -77
09:33:07:261846, onepos_HLK_2, 40:d6:3c:00:04:e1, -77
09:33:07:267538, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:33:07:365445, onepos_HLK_8, 40:d6:3c:00:05:49, -81
09:33:07:625483, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:33:07:833888, onepos_HLK_7, 40:d6:3c:00:06:1e, -76
09:33:07:852830, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:07:990826, onepos_HLK_2, 40:d6:3c:00:04:e1, -69
09:33:08:051276, onepos_HLK_8, 40:d6:3c:00:05:49, -82
09:33:08:294934, onepos_HLK_3, 40:d6:3c:00:06:1d, -61
09:33:08:561676, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:33:08:603696, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:08:735728, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:33:08:805432, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:33:08:864603, onepos_HLK_2, 40:d6:3c:00:04:e1, -70
09:33:08:891298, onepos_HLK_7, 40:d6:3c:00:06:1e, -80
09:33:09:105103, onepos_HLK_1, 40:d6:3c:00:04:a0, -63
09:33:09:430085, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:33:09:487512, onepos_HLK_1, 40:d6:3c:00:04:a0, -63
09:33:09:506463, onepos_HLK_3, 40:d6:3c:00:06:1d, -75
09:33:09:528980, onepos_HLK_2, 40:d6:3c:00:04:e1, -74
09:33:09:558460, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:33:09:595350, onepos_HLK_8, 40:d6:3c:00:05:49, -77
09:33:09:996990, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:10:117247, onepos_HLK_3, 40:d6:3c:00:06:1d, -78
09:33:10:162121, onepos_HLK_3, 40:d6:3c:00:06:1d, -61
09:33:10:398152, onepos_HLK_2, 40:d6:3c:00:04:e1, -71
09:33:10:471021, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:33:10:600827, onepos_HLK_1, 40:d6:3c:00:04:a0, -62
09:33:10:710180, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:33:11:195058, onepos_HLK_7, 40:d6:3c:00:06:1e, -79
09:33:11:422833, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:33:11:480682, onepos_HLK_2, 40:d6:3c:00:04:e1, -70
09:33:11:552187, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:11:901567, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:33:11:978520, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:33:12:229264, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:12:250956, onepos_HLK_2, 40:d6:3c:00:04:e1, -69
09:33:12:688235, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:33:12:961345, onepos_HLK_2, 40:d6:3c:00:04:e1, -69
09:33:13:029640, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:13:380372, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:33:13:412267, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:33:13:432043, onepos_HLK_7, 40:d6:3c:00:06:1e, -80
09:33:13:502103, onepos_HLK_2, 40:d6:3c:00:04:e1, -70
09:33:13:610333, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:13:712445, onepos_HLK_8, 40:d6:3c:00:05:49, -81
09:33:14:030102, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:33:14:134231, onepos_HLK_3, 40:d6:3c:00:06:1d, -76
09:33:14:252518, onepos_HLK_7, 40:d6:3c:00:06:1e, -76
09:33:14:344218, onepos_HLK_2, 40:d6:3c:00:04:e1, -78
09:33:14:375701, onepos_HLK_2, 40:d6:3c:00:04:e1, -69
09:33:14:483604, onepos_HLK_1, 40:d6:3c:00:04:a0, -64
09:33:14:554985, onepos_HLK_8, 40:d6:3c:00:05:49, -82
09:33:14:781771, onepos_HLK_3, 40:d6:3c:00:06:1d, -61
09:33:15:143952, onepos_HLK_7, 40:d6:3c:00:06:1e, -76
