,RSSI_FG,POS
355,"(0, -64.0, -64.0, -51.0)","[9, 8]"
356,"(0, -64.0, -64.0, -48.0)","[9, 8]"
357,"(0, -64.0, -63.0, -49.0)","[9, 8]"
358,"(0, -64.0, -63.0, -51.0)","[9, 8]"
359,"(0, -64.0, -63.0, -48.0)","[9, 8]"
360,"(0, 0, -62.0, -49.0)","[9, 8]"
361,"(0, 0, -62.0, -52.0)","[9, 8]"
362,"(0, 0, 0, -48.0)","[9, 8]"
363,"(-63.0, 0, -63.0, -49.0)","[9, 8]"
364,"(-63.0, 0, -63.0, -48.0)","[9, 8]"
365,"(-64.0, -65.0, -64.0, -50.0)","[9, 8]"
366,"(-64.0, -62.0, -64.0, -50.0)","[9, 8]"
367,"(0, 0, -63.0, -49.0)","[9, 8]"
368,"(0, 0, -62.0, -49.0)","[9, 8]"
369,"(0, 0, -65.0, -49.0)","[9, 8]"
370,"(0, 0, -64.0, 0)","[9, 8]"
371,"(0, 0, -62.0, -51.0)","[9, 8]"
372,"(0, -61.0, -63.0, -52.0)","[9, 8]"
373,"(0, -61.0, -63.0, -49.0)","[9, 8]"
374,"(0, -65.0, -63.0, -52.0)","[9, 8]"
375,"(0, -65.0, -63.0, -49.0)","[9, 8]"
376,"(0, -60.0, 0, 0)","[9, 8]"
377,"(0, 0, 0, -48.0)","[9, 8]"
378,"(-70.0, 0, 0, -48.0)","[9, 8]"
379,"(-70.0, 0, 0, -52.0)","[9, 8]"
380,"(0, -60.0, -65.0, -52.0)","[9, 8]"
381,"(0, -60.0, -65.0, -48.0)","[9, 8]"
382,"(0, -60.0, -65.0, -49.0)","[9, 8]"
383,"(0, -60.0, -65.0, -47.0)","[9, 8]"
384,"(0, 0, 0, -44.0)","[9, 8]"
385,"(0, -62.0, 0, -49.0)","[9, 8]"
386,"(0, -62.0, 0, -47.0)","[9, 8]"
387,"(0, -60.0, 0, -49.0)","[9, 8]"
388,"(0, -60.0, 0, -47.0)","[9, 8]"
389,"(0, 0, -62.0, -49.0)","[9, 8]"
390,"(-68.0, -63.0, 0, -48.0)","[9, 8]"
391,"(-68.0, -63.0, 0, -44.0)","[9, 8]"
392,"(-68.0, -63.0, 0, -49.0)","[9, 8]"
393,"(-68.0, -65.0, 0, -48.0)","[9, 8]"
394,"(-68.0, -65.0, 0, -44.0)","[9, 8]"
395,"(-68.0, -65.0, 0, -49.0)","[9, 8]"
396,"(-68.0, -62.0, 0, -48.0)","[9, 8]"
397,"(-68.0, -62.0, 0, -44.0)","[9, 8]"
398,"(-68.0, -62.0, 0, -49.0)","[9, 8]"
399,"(0, -66.0, 0, -49.0)","[9, 8]"
400,"(0, -66.0, 0, -52.0)","[9, 8]"
401,"(0, -62.0, -62.0, -49.0)","[9, 8]"
402,"(0, -62.0, -65.0, -49.0)","[9, 8]"
403,"(0, -62.0, -63.0, -49.0)","[9, 8]"
404,"(-65.0, -65.0, -71.0, -47.0)","[9, 8]"
405,"(-65.0, -65.0, -71.0, -51.0)","[9, 8]"
406,"(-65.0, -67.0, -71.0, -47.0)","[9, 8]"
407,"(-65.0, -67.0, -71.0, -51.0)","[9, 8]"
408,"(-66.0, -61.0, -70.0, -52.0)","[9, 8]"
409,"(-66.0, -61.0, -70.0, -50.0)","[9, 8]"
410,"(-66.0, -61.0, -70.0, -49.0)","[9, 8]"
411,"(-66.0, -66.0, -70.0, -52.0)","[9, 8]"
412,"(-66.0, -66.0, -70.0, -50.0)","[9, 8]"
413,"(-66.0, -66.0, -70.0, -49.0)","[9, 8]"
414,"(-65.0, 0, -58.0, -50.0)","[9, 8]"
415,"(-65.0, 0, -57.0, -50.0)","[9, 8]"
416,"(0, 0, 0, -43.0)","[9, 8]"
417,"(-67.0, -67.0, -57.0, -47.0)","[9, 8]"
418,"(-67.0, -67.0, -57.0, -50.0)","[9, 8]"
419,"(-67.0, -67.0, -57.0, -46.0)","[9, 8]"
420,"(0, 0, -56.0, -47.0)","[9, 8]"
421,"(0, 0, -56.0, -51.0)","[9, 8]"
422,"(0, 0, -56.0, -45.0)","[9, 8]"
423,"(0, 0, -58.0, -41.0)","[9, 8]"
424,"(0, 0, -58.0, -55.0)","[9, 8]"
425,"(0, 0, -58.0, -45.0)","[9, 8]"
426,"(0, 0, -57.0, -41.0)","[9, 8]"
427,"(0, 0, -57.0, -55.0)","[9, 8]"
428,"(0, 0, -57.0, -45.0)","[9, 8]"
429,"(0, 0, -59.0, -41.0)","[9, 8]"
430,"(0, 0, -59.0, -55.0)","[9, 8]"
431,"(0, 0, -59.0, -45.0)","[9, 8]"
432,"(-69.0, 0, -67.0, -50.0)","[9, 8]"
433,"(-69.0, 0, -67.0, -52.0)","[9, 8]"
434,"(-69.0, 0, -67.0, -53.0)","[9, 8]"
435,"(-69.0, 0, -56.0, -50.0)","[9, 8]"
436,"(-69.0, 0, -56.0, -52.0)","[9, 8]"
437,"(-69.0, 0, -56.0, -53.0)","[9, 8]"
438,"(-69.0, 0, -57.0, -50.0)","[9, 8]"
439,"(-69.0, 0, -57.0, -52.0)","[9, 8]"
440,"(-69.0, 0, -57.0, -53.0)","[9, 8]"
441,"(0, 0, 0, -52.0)","[9, 8]"
442,"(0, 0, 0, -50.0)","[9, 8]"
443,"(-65.0, -65.0, -57.0, -53.0)","[9, 8]"
444,"(-65.0, -65.0, -57.0, -41.0)","[9, 8]"
445,"(-69.0, 0, -57.0, -41.0)","[9, 8]"
446,"(-69.0, 0, -57.0, -52.0)","[9, 8]"
447,"(-69.0, 0, -57.0, -46.0)","[9, 8]"
448,"(-69.0, 0, -57.0, -45.0)","[9, 8]"
449,"(-69.0, 0, -57.0, -51.0)","[9, 8]"
450,"(-69.0, 0, -67.0, -41.0)","[9, 8]"
451,"(-69.0, 0, -67.0, -52.0)","[9, 8]"
452,"(-69.0, 0, -67.0, -46.0)","[9, 8]"
453,"(-69.0, 0, -67.0, -45.0)","[9, 8]"
454,"(-69.0, 0, -67.0, -51.0)","[9, 8]"
455,"(-69.0, 0, -69.0, -41.0)","[9, 8]"
456,"(-69.0, 0, -69.0, -52.0)","[9, 8]"
457,"(-69.0, 0, -69.0, -46.0)","[9, 8]"
458,"(-69.0, 0, -69.0, -45.0)","[9, 8]"
459,"(-69.0, 0, -69.0, -51.0)","[9, 8]"
460,"(-69.0, 0, -59.0, -41.0)","[9, 8]"
461,"(-69.0, 0, -59.0, -52.0)","[9, 8]"
462,"(-69.0, 0, -59.0, -46.0)","[9, 8]"
